Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
139*,144,97,15,5,143.29,7,not out,1,v Africa XI,Chennai,10 Jun 2007
0,3,4,0,0,0.00,5,bowled,2,v South Africa,Belfast,29 Jun 2007
14*,27,11,2,0,127.27,6,not out,2,v South Africa,Belfast,1 Jul 2007
DNB,-,-,-,-,-,-,-,2,v Scotland,Glasgow,16 Aug 2007
19,76,60,1,0,31.66,6,caught,2,v England,Southampton,21 Aug 2007
21,31,18,3,0,116.66,5,caught,1,v England,Bristol,24 Aug 2007
13,30,20,0,0,65.00,6,caught,2,v England,Birmingham,27 Aug 2007
13,33,18,1,0,72.22,6,bowled,1,v England,Manchester,30 Aug 2007
24,60,17,3,0,141.17,5,caught,1,v England,Leeds,2 Sep 2007
35,50,37,3,0,94.59,6,bowled,2,v England,The Oval,5 Sep 2007
50,98,72,4,1,69.44,7,caught,1,v England,Lord's,8 Sep 2007
DNB,-,-,-,-,-,-,-,2,v Australia,Bengaluru,29 Sep 2007
58,134,88,2,2,65.90,6,caught,2,v Australia,Kochi,2 Oct 2007
33,49,37,4,0,89.18,6,caught,2,v Australia,Hyderabad,5 Oct 2007
50*,59,35,5,1,142.85,4,not out,1,v Australia,Chandigarh,8 Oct 2007
4,12,7,1,0,57.14,6,caught,1,v Australia,Vadodara,11 Oct 2007
26,44,29,2,1,89.65,6,caught,2,v Australia,Nagpur,14 Oct 2007
5,22,11,1,0,45.45,6,caught,2,v Australia,Wankhede,17 Oct 2007
63,106,77,8,0,81.81,4,caught,2,v Pakistan,Guwahati,5 Nov 2007
4,24,10,0,0,40.00,6,caught,1,v Pakistan,Mohali,8 Nov 2007
49,61,52,4,2,94.23,5,bowled,1,v Pakistan,Kanpur,11 Nov 2007
45*,72,45,3,1,100.00,6,not out,2,v Pakistan,Gwalior,15 Nov 2007
24,53,32,1,0,75.00,7,caught,2,v Pakistan,Jaipur,18 Nov 2007
37,102,61,1,0,60.65,6,caught,1,v Australia,Brisbane,3 Feb 2008
88*,124,95,5,1,92.63,6,not out,1,v Sri Lanka,Brisbane,5 Feb 2008
17*,72,54,0,0,31.48,7,not out,2,v Australia,Melbourne,10 Feb 2008
31,33,26,3,0,119.23,5,run out,1,v Sri Lanka,Canberra,12 Feb 2008
37,97,50,1,0,74.00,6,run out,2,v Australia,Adelaide,17 Feb 2008
50*,140,68,0,0,73.52,6,not out,2,v Sri Lanka,Adelaide,19 Feb 2008
